Organization Name,Short Name,Category,Summary,Description
Husky Math Club ,HMC,Academic,Husky Math Club is to foster a welcoming environment for people who are interested in math and how it can relate to the world.,"To bring together UW undergraduate mathematics majors and undergraduates interested in mathematics together to socialize, exchange ideas, and participate in fun events. Some recent events we have held are: an Integration Bee/Calculus Bee, Husky Math Talks, which are lectures in mathematics and related areas given by UW undergraduates, a fundraising event through MOD Pizza, online study breaks during COVID, an internship information session, and board game nights. We are planning other events such as advanced mathematics reading groups, and panels about industry and research opportunities."
Husky MMA,,"Recreation, Special Interest, Sports","Whether you're trying to get in shape, learn a new skill, or sharpen existing ones, come train with Husky MMA today! We train with safety and fun in mind multiple times a week. Join the discord for the best way to get in touch.","Husky MMA originates from students coming together out of a desire to train various martial arts that did not have their own clubs. The Husky MMA curriculum is built with this in mind and puts an emphasis on practicality and efficiency. Our classes are free and do not require any equipment to join. Husky MMA is a home for martial artists of any creed, all that matters is a desire to train. Whether you have years of experience or none at all, you can join Husky MMA today!"
Husky Moot Court,Husky M&amp;M,Law,"This organization will provide an open access opportunity for all UW students to develop their legal knowledge, public speaking skills, and critical thinking abilities through participation in Mock simulations and Moot court team competitions.","The purpose of Husky Moot Court is to provide University of Washington students with open-access opportunities to develop their legal knowledge, public speaking skills, and critical thinking abilities through participation in Moot Court Competitions under the American Moot Court Association, and other forms of public speaking competition. We aim to foster an understanding of moot court for students interested in law school and enhance students' advocacy skills in a supportive and collaborative environment."
Husky Nutrition Club,,"Health Sciences, Medical/Dental/Nursing/Pharmacy, Political/Social Action, Recreation",Seeking to empower students and improve health/wellbeing through education around nutrition and opportunities for community-building and outreach through volunteering.,"The mission of this RSO is to educate students on the critical importance and scientific foundations of nutrition while addressing the gaps in nutrition education. Our projects will involve community-building events and outreach/community health regarding food insecurity and a lack of nutrition education while promoting healthy lifestyles through workshops, seminars, and volunteer opportunities. We aim to empower students and the community with knowledge about sustainable and accessible nutrition practices to improve overall well-being."
Husky Pickleball Club,HPC,Sports,"Husky Pickleball Club: Smash, Serve, and Score with us! Join our passionate community of pickleball enthusiasts at the University of Washington. Hope to see you on the courts and remember, don't step in the kitchen!",https://www.youtube.com/watch?v=4vHhZ03O0PI
Husky Poker Club,,Recreation,"Fostering analytical thinking and strategic decision-making through the lens of poker. We nurture a fun and safe environment for UW students to explore game theory, and probability, meet new people, and, of course, play some poker!","The Husky Poker Club is dedicated to promoting intellectual growth, strategic thinking, and community building through the study and practice of poker. Our club goes beyond casual gameplay, emphasizing the rich mathematical and game-theoretical foundations that underpin this complex game. Through regular workshops, we aim to hone our members' critical thinking, decision-making, and risk-management skills. We aim to promote a safe, fun, ethical, and legally compliant gaming environment, emphasizing responsible play and the importance of emotional intelligence in competitive settings. We shall strive to foster a diverse and inclusive community where students can network, collaborate, and grow together."
Husky Powerlifting Club,Husky Powerlifting Club,"Special Interest, Sports",Our mission is to provide a welcoming and inclusive community for all students at our university who are interested in powerlifting. Our goal is to promote the sport of powerlifting and facilitate the growth/development of our members.,"The mission of our powerlifting club is to provide a welcoming and inclusive community for all students at our university who are interested in powerlifting. Our goal is to promote the sport of powerlifting and facilitate the growth and development of our members by providing opportunities for training, education, and competition. We aim to cater to students of all skill ranges, from beginners who want to learn proper technique to national-level competitors who seek to improve their performance. We believe that everyone can benefit from the strength training and mental discipline that powerlifting provides."
Husky Robotics Team,HRT,Engineering,"Husky Robotics Team designs and builds robots to compete in the Rover Challenge Series, including URC and CIRC. More info at https://huskyrobotics.me [NOTE: WE DO NOT ACCEPT APPLICATIONS FROM THIS PAGE. APPLY ONLINE AT OUR WEBSITE LISTED ABOVE.]","Husky Robotics is a Registered Student Organization (RSO), under the Mechanical Engineering Department, building a Mars Rover to compete in the international Rover Challenge Series. Husky Robotics allows UW students to develop skills as part of a large interdisciplinary science and engineering project. We turn our member's passion for robotics, space, science, and engineering into real-world experience, offering a unique chance to have hands-on time in various engineering and engineering-adjacent fields. &ensp;&ensp;&ensp;&ensp;&ensp;&ensp;In 2019, we placed 2nd in the world, outscoring teams from Shanghai to Warsaw. In 2021, we placed 3rd overall in the Virtual University Rover Challenge, with a perfect score in extreme delivery and traversal. In 2022 and 2023, we again took 2nd at the Canadian International Rover Challenge, with a perfect score in Arm Dexterity in 2022 and the highest in Land Speculation in 2023! We continued this streak in 2024, placing 3rd at the Canadian International Rover Challenge, with the highest score in the Arm Dexterity task yet again!&ensp;&ensp;&ensp;&ensp;&ensp; For more information, or to apply during our Autumn or Winter application cycles, visit our website: huskyrobotics.me Note: Please do not apply through HuskyLink. Visit our website to apply!"
Husky Roundnet Club,HRC,Sports,It shall be the purpose of this organization to promote the sport of Spikeball and assemble members to engage in friendly tournaments within and outside of the club,It shall be the purpose of this organization to promote the sport of Spikeball and assemble members to engage in friendly tournaments within and outside of the club
Husky Rugby Club,HRC,Sports,"The Husky Rugby Club at the University of Washington promotes rugby by offering students opportunities to play, learn, and grow in a supportive team environment. The club competes at a D1AA divisional level.","The Husky Rugby Club at the University of Washington promotes rugby by offering students opportunities to play, learn, and grow in a supportive team environment. The club competes at a D1AA divisional level."
Husky Running Club,HRC,Sports,We are dedicated to helping runners improve their running abilities and to provide a fun and encouraging atmosphere for all that participate.,We are dedicated to helping runners improve their running abilities and providing a fun and encouraging atmosphere for all that participate. We meet in the Quad at 5 PM from Monday to Friday. Follow along on our social media for information on events! https://dawgs.run/ https://www.instagram.com/huskyrunningclub/ https://www.facebook.com/uwhuskyrunningclub https://www.strava.com/clubs/huskyrunningclub
Husky Sales Club,HSC,Business,Husky Sales Club is a registered student organization at the University of Washington that connects prospective students with various companies & potential employers. Our mission is to connect exceptional students with exceptional business leaders.,"The Husky Sales Club is a registered student organization at the University of Washington to bridge the gap between the real world and sales education. Our mission is to connect exceptional students with exceptional employers. We give members the opportunity to network and interact with business professionals through our weekly Tuesday meetings, the sales career fair, and more."
Husky Satellite Lab,HSL,Engineering,"Our mission is to foster interdisciplinary student participation in space systems research, inspire and train future space scientists and engineers, and advance spacecraft capabilities at the University of Washington.","Our mission is to foster interdisciplinary student participation in space systems research, inspire and train future space scientists and engineers, and advance spacecraft capabilities at the University of Washington. We design, build, and fly small satellites called ""cubesats"" to space. We've successfully launched our first satellite (HuskySat-1) and are currently developing our second (HuskySat-2). Our ambitious goal is to have an orbiter around the moon by 2030. Learn more and find application information at huskysat.aa.washington.edu."
Husky Science Communication Initiative,HuSCI,Sciences,a team of volunteers from the University of Washington and UW-affiliated institutions who are passionate about community outreach and equity in science from K-12 to higher education.,"We are a team of volunteers from the University of Washington who are passionate about community outreach and equity in science. HuSCI (pronounced ""Husky"") partners with underserved public schools in the Seattle area to conduct hands-on hypothesis based activities, provide scientific role models for students, and help students feel secure in their ability to pursue an interest in STEM subjects."
Husky Science Olympiad,DubSO,"Academic, Engineering, Environmental, Health Sciences, Sciences","Husky Science Olympiad fosters a supportive environment for high schoolers to explore STEM through engaging competitions. We spark curiosity, promote teamwork, and inspire a passion for science and engineering","Husky Science Olympiad was founded to create an exciting and supportive environment for high school students to explore science and engineering through competition. Our mission is to inspire a passion for STEM for high schoolers by hosting an engaging Science Olympiad, enriched with events that make complex concepts accessible and fun. We aim to spark curiosity in young minds and help them discover the real-world applications of the science they learn in school. The University of Washington is the ideal setting for this competition, offering local and out-of-state high school students a glimpse into the vibrant university atmosphere, where their love for science can flourish. Whether it's conducting wet labs in real lab rooms or testing their built devices, participants gain hands-on experience in various STEM disciplines while developing problem-solving skills in a collaborative and friendly setting. Our goal is to create an environment that encourages exploration, challenges creativity, and motivates students to pursue their interests in science and engineering, preparing them for bright futures in STEM.Our discord is where we communicate all of our information:"
Husky Ski Team,HST,Sports,"Our organization is for students who love skiing, and want to share that passion with an amazing group of teammates, coaches, and volunteers. We ski race competitively against other colleges in the northwest...","Our organization is for students who love skiing, and want to share that passion with an amazing group of teammates, coaches, and volunteers. We ski race competitively against other colleges across the northwest (no racing experience required). Reach out to us at huskyskiteam@gmail.com with any questions and follow @huskyskiteam on Instagram for and updated events schedule and further information about our team! Catch us at the... Dawg Daze fair on sept. 22nd, 3:30-6:30pm, at the at the IMA Building Outdoor Plaza/Front Lawn and the... RSO fair on sept. 27th, 10am-2pm in Red Square"
Husky Smiles,,Medical/Dental/Nursing/Pharmacy,"To promote oral health by providing dental education, screenings, and fluoride varnish to underprivileged children in the Seattle area.","To provide dental education, screenings, and fluoride varnish to underprivileged children in the Seattle area."
Husky Snow Club,HSC,Recreation,"Husky Snow Club aims to create a friendly, laid-back, and welcoming community of snowboarders and skiers who pursue powder slashes and good times together year round. We welcome all skill levels!","Husky Snow Club is a ski and snowboard ride-share and social organization. Members post to our club Facebook page about open seats in their car and other members comment (first come first served) to claim a seat going up to the mountain. WE PAY FOR THE DRIVERS' GAS!!!!! We have members of all skill levels, so all are welcome regardless of experience! We have major IKON PASS DISCOUNTS and other deals with various ski/board brands and stores. Since UW will be in person, we will be offering rides like any other year for the 2022-2023 season! FOR MORE INFORMATION: WATCH THIS INTRODUCTORY VIDEO: https://rb.gy/mcbser CHECK OUT OUR WEBSITE: https://huskysnowclub.wixsite.com/shred FIND US ON INSTAGRAM (@huskysnowclub): https://www.instagram.com/huskysnowclub/0 TO JOIN HUSKY SNOW CLUB: Venmo $30 to @huskysnowclub or contact an officer to pay in cash Request access to our Facebook Page: Husky Snow Club Members 2020-2021 https://www.facebook.com/groups/195979835776345 (You will be added once your membership fee of $30 is received) NOTE: We don't use this RSO page as a membership page, if you want to join the club feel free to join our Facebook page (linked above), or contact Stef Arsov with questions (sarsov@uw.edu) We look forward to shredding with you!"
Husky Splatoon League,HSL,Gaming/Esports,"A group dedicated towards playing Nintendo's shooter series ""Splatoon"", open to players of all skill levels! We have casual game sessions in-person and online, and organize competitive teams and events!","We are the Husky Splatoon League! We are a group dedicated to playing Nintendo's online third-person shooter series ""Splatoon"", and we are open to players of all skill levels! Whether you are just starting out the game or have been playing the series since it started, we are here to help grow our local scenes and have some fun! We have weekly in-person meetups where we play various modes together and occasionally run events, such as custom Splatfests or presentations. We also have a Discord server where we have systems for searching for games, so you can find anyone to play with at any time! We also have competitive offerings! Our team, the Husky Splatsville Knights, participates in various tournaments, collegiate (such as the CCA) and non-collegiate! Anyone is welcome to join in on tournaments, and we will try to find some to accommodate the various skill levels. We also have some partnerships with other local groups like SplatoonPNW and plan on having other local events with people outside of the UW! Join our Discord server linked on our Huskylink page if you're interested or want to get in contact with us!"
Husky Squash Club,HSC,"Recreation, Sports",The club aims to provide a community for squash players at UW and those who want to learn. We are all inclusive and welcome players of all levels and backgrounds.,"The Husky Squash Club offers a community for UW affiliated Squash Players, and people who are interested in learning more about the sport. We welcome players from all levels and backgrounds and encourage everyone to learn more about the sport and contribute to a diverse and inclusive community."
Husky Surf Club,Husky Surf,Sports,If you would like to join Husky Surf Club please join the facebook group. https://www.facebook.com/groups/957988905161023 We love to surf so if you do to join the club!,If you would like to join Husky Surf Club please join the facebook group. https://www.facebook.com/groups/2306411863003052/ We love to surf so if you do to join the club!
Husky Table Tennis Club,HTTC,Sports,"Join us for table tennis and have a great time with friends! We host weekly practices and quarterly tournaments and events at the IMA Gym B. We also compete with other collegiate teams at the national level, but welcome players of all levels!","Join us for table tennis and have a great time with friends! We host weekly practices and quarterly tournaments and events at the IMA Gym B. We also compete with other collegiate teams at the national level, but welcome players of all levels!"
Husky Taekwondo Club,HTKD,Recreation,We are a student-run organization encouraging the teaching of the martial art of Taekwondo.,
Husky Tennis Club,HTC,Sports,To promote the growth of recreational and competitive tennis among all peoples of all skill levels and abilities at the University of Washington.,To promote the growth of recreational and competitive tennis among all peoples of all skill levels and abilities at the University of Washington.
Husky Tetris Club,HTC,Gaming/Esports,We play Tetris!,"Husky Tetris Club's purpose is to bring together Tetris players of all levels in the UW community. We will host weekly meetings for Tetris players to meet each other and play for fun, as well as competitive events throughout the year. Meetings every Tuesday 7-9pm in SMITH 111. Check our Discord for updates and more information: https://discord.gg/2DvprFJ"
Husky Triathlon Club,HTC,Sports,"The Husky Triathlon Club serves University of Washington affiliated multisport athletes of all ages and abilities, enabling them to achieve their athletic goals in a stimulating, supportive and sociable environment.","Do you like swimming, cycling, and running? Or, perhaps you're a track star that wants to take up cross-training on the bike? Or, maybe you are a beginner and want a fun group of people to train with and help you get into the world of multisport? Whatever your goals or background may be, there is a place for YOU in the Husky Triathlon Club! We are a group of students with wide range of athletic backgrounds, majors, and a common interest in triathlon that train together throughout the school year. Everyone is welcome, no matter ability or experience, so come stop on by and dip your toes into the world of multisport--we would love to have you! Email Huskytri@gmail.com to get added to our email list. We let all prospective members try out the team for about a week, so feel free to just show up or send us an email! http://www.huskytriathlon.com/ https://www.instagram.com/huskytriathlon/?hl=en"
Husky Water Polo,Dawg Polo,Sports,"To provide and promote water polo at the University of Washington, and to spread the camaraderie and passion for the great sport of water polo throughout the Pacific Northwest. https://sites.uw.edu/dawgpolo","To provide and promote water polo at the University of Washington, and to spread the camaraderie and passion for the great sport of water polo throughout the Pacific Northwest. https://sites.uw.edu/dawgpolo"
Husky Wellness,,Special Interest,"We are a student-led organization dedicated to promoting wellness and self-care within our campus community. Our goal is to provide a safe and inclusive space where individuals can openly share their experiences, learn self-care and connect with others.",
Husky Wiffle Club,,"Recreation, Sports","Husky Wiffle Club exists to provide students with an opportunity to play fun, casual games of Wiffle Ball, regardless of prior Wiffle Ball/baseball experience.","In spring quarter of 2024, I began hosting small games of wiffle ball with friends from my dorm at Denny Field. This became a weekly tradition, and we began to feel a strong sense of community. We were always open to inviting new people, and our participants had varying skill levels ranging from having never held a baseball bat to having played baseball since childhood. The Husky Wiffle Club exists to provide other students at the University of Washington to become a part of this community and have a space to play fun, causual games of Wiffle Ball while making friends and developing their skills over time."
Husky Winter Sports,HWS,Recreation,"Provide fun, safe, high quality and affordable mountain experiences to skiers and snowboarders of all ability levels, and to foster friendships among like-minded winter sports enthusiasts.","Do you want to ski for free? Are you interested in drastically improving your skiing in a season? How about finding a close knit group of outdoor enthusiasts that find ways to do rad (some may say extreme) activities together year round? Husky Winter Sports is a club and ski school that operates at The Summit at Snoqualmie. We are a club that loves to get our students stoked on 1 or 2 planks while also teaching them the fundamentals of skiing and boarding. All of our instructors receive a FREE SEASONS PASS TO ALL AREAS OF SNOQUALMIE in exchange for teaching lessons with us. If you&rsquo;re interested in learning more about Husky Winter Sports come to our INFO SESSIONS at the following dates: Monday, October 7 Tuesday, October 15 Thursday, October 23 SIGN UP FOR OUR EMAIL LIST AT https://mailman11.u.washington.edu/mailman/listinfo/hws-prospies Come learn how to ski and snowboard for free!"
Husky Wrestling Club,HWC,Sports,The purpose of Husky Wrestling Club is to give University of Washington students the opportunity to participate and compete in the sport of wrestling.,"The purpose of Husky Wrestling Club is to give University of Washington students the opportunity to participate and compete in the sport of wrestling. Practices are open to all UW students. Coaching and instruction available to all skill levels. For more information, contact via email or Instagram. 2024-2025 Practice Schedule: (From September 30th, 2024) IMA Mat Room A Monday 7:00pm - 8:30pm IMA Mat Room B Tuesday, Thursday - 8:30pm - 10:00pm Friday - 5:40 - 7:00pm Summer Schedule (June 17th - Sept. 20th, 2024) T/R - 7:00 - 8:30 PM F - 5:00 - 7:00 PM"
Husky Wushu Club,,Sports,"The purpose of this organization to provide and develop a community committed to the advancement of Wushu through organized and goal-oriented training programs, team competition at national tournaments, and team performances and cultural demonstrations.",
HuskyADAPT,HuskyADAPT,Engineering,"Our mission is to foster an inclusive, sustainable, and multidisciplinary community supporting accessible design and play technology. We do this through toy adaptation, design, and community engagement.","Our mission is to foster an inclusive, sustainable, and multidisciplinary community supporting accessible design and play technology. This includes adapting toys for users with diverse needs, designing solutions to accessibility challenges, and engaging with the community. Learn more at our website Check out our overview video To get involved, sign up to our email list. Emails are sent twice monthly and include all opportunities to get involved!"
Ice Hockey Club at the UW,UWIH,Sports,Our purpose is to provide a competitive and fun environment for those who wish to play the sport of ice hockey.,Our purpose is to provide a competitive and fun environment for those who wish to play the sport of ice hockey.
If/When/How: Lawyering for Reproductive Justice UW Chapter,,Law,"If/When/How trains, networks, and mobilizes law students and legal professionals within and beyond the legal system to champion reproductive justice.","If/When/How trains, networks, and mobilizes law students and legal professionals within and beyond the legal system to champion reproductive justice. Together, in collaboration and conversation with communities, organizations, and movements, If/When/How is working to ensure all people&mdash;especially those most likely to face reproductive injustice&mdash;have the ability to decide if, when, and how to create and sustain families with dignity, free from discrimination, coercion, or violence."
iJournal at UW,,Academic,"The UW iSchool Student Journal is a student-driven publication dedicated to encouraging critical dialogue, innovative ideas, and diverse perspectives within the iSchool community.","The UW iSchool Student Journal is a student-driven publication dedicated to encouraging critical dialogue, innovative ideas, and diverse perspectives within the iSchool community. We provide a platform for students to share thought pieces, research, opinions, and creative works that explore the intersection of technology, information, and society. Our mission is to amplify student voices, inspire collaboration, and advance conversations that challenge assumptions, promote equity, and envision a more informed, connected, and fair world."
Immigrant Rights are Human Rights: Students for La Resistencia,IRHR,Political/Social Action,"IRHR will facilitate UW students to organize under the guidance of La Resistencia, an undocumented-led local grassroots organization fighting to shut down the Northwest Detention Center (NWDC) and end the oppressive border regime.","We will participate in lobbying bills to uphold the rights and welfare of migrants at the NWDC, hosting Solidarity Day events at the NWDC to uplift and propagate campaign demands, coordinating campaigns, tabling the campus to spread awareness of the campaign, producing and selling merch and baked goods to fundraise, researching the environmental impacts of the NWDC, and create informational graphics to post on the La Resistencia social media page. Our priority as a collective group is to support La Resistencia effects of shutting down the Northwest Detention Center and providing any support necessary to those inside through student mobilization and avocation. With that, the specific needs may change, but there are a variety of ways students can offer their support according to their limited capacities. Something unique that this club contributes is a space for students of any identity and major to be able to mobilize under such leadership within La Resistencia toward a goal of supporting human rights. Additionally, we hope to use RSO networking to build solidarity in supporting all human rights."
iMuslims,,Academic,iMuslims is dedicated to providing Muslim students at the iSchool with professional support while fostering an inclusive environment. We empower Muslim students and allies with the tools and resources needed for professional development.,"Our organization is dedicated to providing Muslim students at the iSchool with professional and developmental support while fostering an inclusive environment. We empower Muslim students and allies as information and technology leaders by promoting connection, establishing networks, and building community."
Incarcerated Mothers Advocacy Project,IMAP,Law,"The Incarcerated Mothers Advocacy Project (IMAP) is a coalition of law students, lawyers, and anti-racist organizers that provide resources and support that heal the relationships harmed by incarceration.","The Incarcerated Mothers Advocacy Project (IMAP) is a coalition of law students, lawyers, and anti-racist organizers that provide resources and support that heal the relationships harmed by incarceration. We envision a world where families can be together & thrive, free from the prison industrial complex. We seek to change the rights afforded incarcerated and formerly incarcerated parents in the State of Washington. We currently provide legal education and information to help prevent the separation of incarcerated and formerly incarcerated parents from their children. We believe that the incarceration of womxn, and further, the separation of incarcerated parents from their children due to incarceration, is a form of violence and reproductive oppression. We envision a day in which womxn of every color, ability, class and sexual orientation are able to help shape the policies that affect them and their families. In such a world, the rights of incarcerated and formerly incarcerated womxn as persons and parents would not only be respected but also supported."
Inclusion in Chemical Sciences at the University of Washington,InCS @ UW,Sciences,"A student organization to educate and empower undergrads, grad students, post docs, faculty, and staff in the chemical sciences by providing an open space for dialogue, mentorship, collaboration, camaraderie, and skill building.","Inclusion in Chemical Sciences (InCS-UW) is a student group at the University of Washington. Our mission is to educate and empower people in science and their supporters by providing a safe and open space for dialogue, mentorship, collaboration, camaraderie, and skill building through a variety of activities including guest speakers and panels, student-facilitated discussions, workshops, and outreach to primary, secondary, and post-secondary institutions."
Indian Street Food Club at UW,,Cultural/International,We teach people how to make yummy Indian Street Food and immerse themselves in this culture.,"We are an organization that is building a community by learning about street food in India. We try to recreate these authentic flavors, go to small Indian spots to learn, and come up with our own inventions. We focus on street food in India that are snacky, delicious, and the most authentic."
Indigenous Students of Latin America,ISLA,Cultural/International,This club is stemmed to support and be a safe place for Indigenous students whose families are from an Indigenous community in Latin America. This is also a place where others just want to learn and listen.,Indigenous communities in Latin America are known to be most underdeveloped regions in their countries due to a lack of support and resources from their government. Colorism is a harmful thing in Latin America to these communities as they have been treated as less than despite them being Native to the land. It is important that students who are from Indigenous communities feel supported and feel proud of their Indigenous culture. This club is meant to raise more awareness about Indigenous cultures within Latin America because they have been pushed aside since colonialism.
Indonesian Student Association at the University of Washington,ISAUW,Cultural/International,ISAUW is an cultural organization that promotes the Indonesian culture at the University of Washington and beyond.,ISAUW (Indonesian Student Association at the UW) is a non-profit cultural organization with the purpose of uniting the Indonesian community within the university as well as to promote Indonesian culture to the community in the greater Seattle Area.
"Industrial Designers Society of America, UW Chapter",UW IDSA,Academic,"IDSA UW Chapter fosters educational enrichment, professional development, and community support through events and workshops for Industrial Design students at UW such as an annual professional portfolio review, Junior Show, studio tours, and more.","IDSA UW Chapter fosters educational enrichment, professional development, and community support through events and workshops for Industrial Design students at UW such as an annual professional portfolio review, Junior Show, studio tours, and various other events. &ensp;&ensp;&ensp;"
Industry Pharmacists Organization,UW IPhO,Health Sciences,"IPhO is the organization whose pharmacist members are universally recognized within the pharmaceutical industry as the most professionally equipped to contribute to the development, commercialization, promotion, and optimal use of medicines.","UW IPhO believes that pharmacist&rsquo;s scientific training, medication expertise, clinical acumen, patient focus, and experiences make us ideally suited for a career in the pharmaceutical industry. Our goal is to introduce students to different functional areas and PharmD roles in industry."
Infectious Disease Interest Group,IDIG,Medical/Dental/Nursing/Pharmacy,An interest group for medical students wanting to deepen their understanding and connect with mentors in the infectious disease physician specialty.,
Informatics Undergraduate Association at the University of Washington,IUGA,Academic,The Informatics Undergraduate Association was founded by Informatics majors for Informatics majors. It is our objective to serve the needs and interests of students currently in the major and to support prospective Informatics students.,"The Informatics Undergraduate Association was founded by Informatics majors for Informatics majors. It is our objective to serve the needs and interests of those in our major, but also those interested in applying to the undergraduate degree program as well."
Information Consulting Group,ICG,Business,"Information Consulting Group (ICG) is a student-run consulting organization that delivers technology and strategy solutions to organizations. ICG has four core focus groups: software engineering, data science, Ui/UX, cybersecurity",
INFORMS Student Chapter at the University of Washington,,"Academic, Engineering, Graduate/Professional","This organization, a local student chapter of INFORMS, serves to encourage interest in the fields of Operations Research, Management Sciences, and Data Science & Analytics.",
INIT at UW,INIT,Engineering,We empower underserved communities to launch successful careers in technology.,"We're a community helping you land a job in tech through technical programs, career development, access to opportunities, and more!"
Institute for Advanced Aerospace Concepts,IAAC,"Academic, Engineering, Sciences","IAAC is an organization that focuses on research, design, development, and testing of various aerospace concepts such as rockets, drones, atmospheric flight vehicles, and more.",
Institute of Electrical and Electronics Engineers Women in Engineering - UW Seattle Chapter,IEEE WIE - UW Seattle Chapter,Engineering,"We will be designing and hosting events for members from the ECE student body, with the focus of building an empowering community for women in engineering. Participation in WIE is open to women, men and non-binary students.",
Institute of Electrical and Electronics Engineers/Eta Kappa Nu,IEEE/HKN,Engineering,"To promote camaraderie between students within the Electrical & Computer Engineering department of the University of Washington, and provide a means for students to interact with industry.","To promote camaraderie between students within the Electrical & Computer Engineering department of the University of Washington, and provide a means for students to interact with industry."
Institute of Industrial and Systems Engineers,IISE,Engineering,"IISE at the University of Washington strives to create a positive impact on students interested in Industrial and Systems Engineering, by strengthening interaction between students, faculty, and industry through professional and social events.","IISE at the University of Washington strives to create a positive impact by strengthening interaction between students, faculty, and industry."
Institute of Transportation Engineers at the University of Washington,ITE at UW,Engineering,ITE UW is a community of students with a shared interest in transportation. We connect students off ALL disciplines to transportation opportunities and like to have a lot of fun. Engineers may be in our name but we are for EVERYONE!,"ITE University of Washington Student Chapter (ITE UW) is a community for students interested in the field of transportation. We provide opportunities to explore the profession through events like speaker presentations, technical tours, and hands-on workshops. Beyond our events, we empower students to get actively involved in local transportation issues.Subscribe to our mailing list: http://eepurl.com/jnGseA Join our Discord server: https://discord.gg/NpyNGNJfmP"
Institutional Climate Action UW Chapter,ICA UW,Environmental,ICA is a Climate Justice coalition demanding our Washington State higher education institutions begin modelling the urgently-needed just transition towards an equitable green future. Join to act for Climate Justice!,"ICA is a climate justice coalition of Washington State higher education institutions organizing for universities to cut ties the from fossil fuel industry. Vision Our public institutions of higher education must model the clean and just transition that&rsquo;s required to confront the climate crisis and create a future free from carbon emissions. Mission We are organizing in solidarity to hold WA public institutions of higher education accountable for their current and future climate-altering investments and impacts. The full ICA demands for a Fossil Free University are: 1. Stop funding fossil fuels: divest all holdings and investments in the fossil fuel industry (will be achieved by 2027!) 2. Refuse dirty money: bar fossil fuel industry funding from influencing our research and institutional decisions 3. Stop building: don't construct any new fossil fuel infrastructure on campus, such as gas heating 4. Transition away from fossil fuels: decarbonize the power plant and reduce operational emissions 5. Stop promoting: refuse fossil fuel industry entry into career fairs and promotional advertising Visit our coda to learn more Check out our linktree to get connected or follow our socials"
Interactive Intelligence,I2,Engineering,"I2 is an environment and community of project-driven, outcome-oriented students interested in the intersections of machine learning, neuroscience, ethics, philosophy and more.","Interactive Intelligence (I2) is UW’s student led NeuroAI education and research organization. I2 is an environment which aims to create a community of project-driven, outcome-oriented students at the University of Washington interested in the intersections of artificial intelligence, cognitive science, neuroscience, and philosophy. Our goal is to study ""intelligence' from artificial, biological, and philosophical angles. We offer an introductory course to students who want to get into the field, and support for those who wish to contribute to it through research! Check out our YouTube! http://www.youtube.com/@interactiveintelligence"
Intercollegiate Horse Shows Association Equestrian Team at the UW,IHSA,Sports,To teach horsemanship to interested students or faculty members and to provide an opportunity for undergraduates to compete in intercollegiate competitions. We welcome equestrians of all skill levels and interests!,To teach horsemanship to interested students or faculty members and to provide an opportunity for undergraduates to compete in intercollegiate competitions. We welcome equestrians of all skill levels and interests!
Interfraternity Council at the University of Washington,IFC,Fraternities & Sororities- IFC/PH,Governing body of fraternities at the University of Washington.,Governing body of fraternities at the University of Washington.
International Cuisine Club,ICC,"Cultural/International, Recreation, Sciences, Special Interest",A bi-weekly meeting club dedicated to preparing and learning about cuisines from different cultures all over the world!,"A club that meets bi-weekly in on-campus kitchens to study the history of various dishes and cultures from around the world (and sometimes the science of their preparation) by collaboratively researching, cooking, and discussing (AND eating!)."
International Graduate Student Ministry,IGSM,Graduate/Professional,"Welcome to IGSM! If you're a Masters, PhD, or professional international student, this group is for you :)","Welcome to IGSM! If you're a Masters, PhD, or professional international student, this group is for you :) We're a community of international grad students and alumni volunteers who have a TON of fun together and support one another through all the ups and downs of grad school and beyond. Here's a few of the things we do together: Mentorship: If you're looking for a grad school boost, whether it be English practice, giving a research presentation, or polishing up your interview skills, check out our mentorship groups! We meet in small groups (Zoom or in-person :), and our mentors include volunteer working professionals with graduate degrees from Stanford and UC Berkeley. Previous grads have advanced to careers at tech giants and renowned universities! Fun: We take LOTS of fun trips and outings together to hike and enjoy the beautiful lakes and mountains in the Seattle area. We also get together to celebrate traditional American holidays like the Fourth of July, Christmas, and Thanksgiving with a giant roasted turkey! Grad students assemble!"
International Law Society,ILS,Law,To bring together law students who are interested in the practice of international law from both business and public interest perspectives.,To bring together law students interested in the practice of international law from all perspectives.
International Mango Club,IMC,Special Interest,"To celebrate the unique qualities of mangoes, not only as a fruit but as a component in many different culture food and economy wise.",
International Pharmaceutical Students' Federation,IPSF,Medical/Dental/Nursing/Pharmacy,"IPSF is the leading international advocacy organization for pharmacy students with the aim to promote improved public health through the provision of information, education, and networking opportunities.","IPSF is the leading international advocacy organization for pharmacy students with the aim to promote improved public health through the provision of information, education, and networking opportunities as well as a range of publications and professional initiatives."
International Society of Pharmacoeconomics and Outcomes Research Student Chapter at University of Washington,ISPOR-UW,Health Sciences,"To provide a forum where students can share knowledge in health economics and outcomes research and connect with experts in the industry, academia, and research institutes.","A student chapter of the national ISPOR organization - primarily for graduate students to share knowledge in health economics and outcomes research. Our meetings provide opportunities to connect with experts in the industry, academia, and research institutes, as well as explore methodology in this field. More information about the national ISPOR organization can be found here: https://www.ispor.org"
